t;flow;flux
0;0;0.04
1;0.0;0.04
2;0.0;0.04
3;0.0;0.04
4;0.0;0.04
5;0.0;0.04
6;0.0;0.04
7;0.0;0.03942857142857143
8;0.0;0.0375
9;0.0;0.037333333333333336
10;0.0;0.0368
11;0.0;0.03636363636363637
12;0.0;0.03666666666666667
13;0.0;0.036307692307692305
14;0.0;0.03657142857142857
15;0.0;0.0368
16;0.0;0.03675
17;0.0;0.03670588235294117
18;0.0;0.03666666666666667
19;0.0;0.0368421052631579
20;0.0;0.0366
21;0.0;0.03657142857142857
22;0.0;0.03654545454545455
23;0.0;0.03652173913043478
24;0.0;0.03666666666666667
25;0.0;0.0368
26;0.0;0.03661538461538461
27;0.0;0.036444444444444446
28;0.0;0.03614285714285714
29;0.0;0.03613793103448276
30;0.0;0.035866666666666665
31;0.0;0.036
32;0.0;0.036
33;0.0;0.036
34;0.029411764705882353;0.03576470588235294
35;0.02857142857142857;0.03554285714285715
36;0.027777777777777776;0.035444444444444445
37;0.02702702702702703;0.035351351351351354
38;0.02631578947368421;0.03536842105263158
39;0.02564102564102564;0.03538461538461539
40;0.025;0.0353
41;0.0975609756097561;0.0351219512195122
42;0.16666666666666666;0.03495238095238095
43;0.16279069767441862;0.03506976744186046
44;0.1590909090909091;0.03509090909090909
45;0.15555555555555556;0.03511111111111111
46;0.21739130434782608;0.03469565217391305
47;0.2553191489361702;0.03446808510638298
48;0.2708333333333333;0.0345
49;0.30612244897959184;0.03428571428571428
50;0.3;0.03432
51;0.3137254901960784;0.03411764705882353
52;0.3076923076923077;0.034
53;0.3018867924528302;0.033962264150943396
54;0.3148148148148148;0.033851851851851855
55;0.34545454545454546;0.03367272727272728
56;0.3392857142857143;0.033785714285714294
57;0.3508771929824561;0.033684210526315796
58;0.3620689655172414;0.03358620689655173
59;0.3898305084745763;0.033423728813559324
60;0.4166666666666667;0.03326666666666667
61;0.4262295081967213;0.033049180327868855
62;0.46774193548387094;0.03283870967741935
63;0.49206349206349204;0.03276190476190476
64;0.515625;0.0325
65;0.5692307692307692;0.03224615384615384
66;0.6060606060606061;0.031999999999999994
67;0.6417910447761194;0.03194029850746269
68;0.6617647058823529;0.0318235294117647
69;0.6666666666666666;0.03171014492753623
