t;flow;flux
0;0;0.04
1;0.0;0.04
2;0.0;0.04
3;0.0;0.04
4;0.0;0.04
5;0.0;0.04
6;0.0;0.04
7;0.0;0.04
8;0.0;0.04
9;0.0;0.03911111111111112
10;0.0;0.039200000000000006
11;0.0;0.03927272727272727
12;0.0;0.03933333333333334
13;0.0;0.039384615384615386
14;0.0;0.039142857142857146
15;0.0;0.03893333333333333
16;0.0;0.039
17;0.0;0.038588235294117645
18;0.0;0.03844444444444444
19;0.0;0.038526315789473686
20;0.0;0.038200000000000005
21;0.047619047619047616;0.03809523809523809
22;0.045454545454545456;0.03781818181818182
23;0.043478260869565216;0.03791304347826087
24;0.041666666666666664;0.03799999999999999
25;0.04;0.037919999999999995
26;0.038461538461538464;0.038
27;0.037037037037037035;0.03807407407407407
28;0.03571428571428571;0.03814285714285714
29;0.06896551724137931;0.03806896551724138
30;0.06666666666666667;0.038
31;0.0967741935483871;0.03780645161290323
32;0.15625;0.0375
33;0.15151515151515152;0.03745454545454546
34;0.14705882352941177;0.03741176470588235
35;0.14285714285714285;0.03725714285714286
36;0.1388888888888889;0.037222222222222226
37;0.16216216216216217;0.03718918918918919
38;0.18421052631578946;0.036947368421052625
39;0.23076923076923078;0.036820512820512824
40;0.25;0.0367
41;0.34146341463414637;0.036292682926829266
42;0.35714285714285715;0.0360952380952381
43;0.3953488372093023;0.036000000000000004
44;0.38636363636363635;0.03609090909090909
45;0.4;0.03608888888888889
46;0.43478260869565216;0.03582608695652174
47;0.48936170212765956;0.035659574468085105
48;0.5;0.0355
49;0.5306122448979592;0.035346938775510206
50;0.6;0.035120000000000005
51;0.6666666666666666;0.03490196078431373
52;0.6923076923076923;0.034769230769230774
53;0.6981132075471698;0.03479245283018868
54;0.7407407407407407;0.03466666666666666
55;0.8363636363636363;0.03432727272727273
56;0.8571428571428571;0.03428571428571429
57;0.8596491228070176;0.034315789473684216
58;0.9310344827586207;0.033931034482758624
59;1.0;0.0336271186440678
60;1.0333333333333334;0.033466666666666665
61;1.0491803278688525;0.03337704918032787
62;1.0806451612903225;0.033290322580645154
63;1.1111111111111112;0.033206349206349205
64;1.140625;0.0330625
65;1.1692307692307693;0.03292307692307692
66;1.196969696969697;0.03266666666666667
