sample;porosity;lambda_max;fractal_dimension
sample_0;0.91752;220;1.984040258585507;
sample_1;0.92333;247;1.9855213367238322;
sample_2;0.91672;249;1.984240337254232;
sample_3;0.91231;215;1.9829116328630714;
sample_4;0.9132;153;1.9819498091924843;
sample_5;0.91507;151;1.9823101926168616;
sample_6;0.91788;240;1.9843652141549748;
sample_7;0.92784;248;1.9864157172782722;
sample_8;0.90475;147;1.9799422966250515;
sample_9;0.91606;245;1.9840630250545732;
avg;0.9164680000000001;211.5;1.9835759820348862
