1;1000;1.0
2;1000;1.0
3;1000;1.0
4;1000;1.0
5;1000;1.0
6;1000;1.0
7;1000;1.0
8;999;0.999
9;992;0.992
10;994;0.994
11;987;0.987
12;976;0.976
13;960;0.96
14;944;0.944
15;933;0.933
16;899;0.899
17;878;0.878
18;855;0.855
19;818;0.818
20;793;0.793
21;736;0.736
22;724;0.724
23;675;0.675
24;620;0.62
25;634;0.634
26;562;0.562
27;548;0.548
28;524;0.524
29;480;0.48
30;446;0.446
31;428;0.428
32;424;0.424
33;384;0.384
34;367;0.367
35;352;0.352
36;305;0.305
37;311;0.311
38;292;0.292
39;298;0.298
40;274;0.274
41;264;0.264
42;237;0.237
43;233;0.233
44;233;0.233
45;203;0.203
46;190;0.19
47;189;0.189
48;180;0.18
49;166;0.166
50;131;0.131
