sample;porosity;lambda_max;fractal_dimension
sample_0;0.86784;106;1.9696044249212599;
sample_1;0.8442;85;1.9618773034713652;
sample_2;0.86679;115;1.9698713190819743;
sample_3;0.84339;117;1.96423360489511;
sample_4;0.83755;68;1.957986967210659;
sample_5;0.83396;72;1.9575440695272102;
sample_6;0.83301;64;1.9560676199779503;
sample_7;0.85671;105;1.9667689890444664;
sample_8;0.83892;104;1.96218235448211;
sample_9;0.84753;82;1.962459818100133;
avg;0.8469899999999999;91.8;1.9628596470712238
