t;flow;flux
0;0;1.0
1;0.0;1.0
2;0.0;1.0
3;0.0;0.8533333333333334
4;0.0;0.749
5;0.0;0.6496000000000001
6;0.0;0.57
7;0.0;0.5142857142857143
8;0.0;0.467
9;0.0;0.432
10;0.0;0.4072
11;0.0;0.3825454545454546
12;0.0;0.3676666666666667
13;0.0;0.35261538461538466
14;0.0;0.3331428571428572
15;0.0;0.3178666666666667
16;0.0;0.303
17;0.0;0.2908235294117647
18;0.0;0.2786666666666667
19;0.0;0.26842105263157895
20;0.0;0.2592
21;0.0;0.25161904761904763
22;0.0;0.24309090909090908
23;0.0;0.23495652173913043
24;0.0;0.22733333333333333
25;0.0;0.22096000000000002
26;0.0;0.21615384615384617
27;0.0;0.21140740740740743
28;0.0;0.20685714285714285
29;0.0;0.204
30;0.0;0.19933333333333333
31;0.0;0.1944516129032258
32;0.03125;0.18962500000000002
33;0.030303030303030304;0.18545454545454543
34;0.029411764705882353;0.1828235294117647
35;0.02857142857142857;0.1793142857142857
36;0.027777777777777776;0.17588888888888887
37;0.05405405405405406;0.17275675675675675
38;0.07894736842105263;0.16894736842105262
39;0.10256410256410256;0.16625641025641025
40;0.15;0.1632
41;0.17073170731707318;0.16078048780487805
42;0.16666666666666666;0.15885714285714284
43;0.16279069767441862;0.15646511627906975
44;0.1590909090909091;0.154
45;0.17777777777777778;0.15146666666666667
46;0.17391304347826086;0.1488695652173913
47;0.2127659574468085;0.14621276595744684
48;0.20833333333333334;0.14366666666666666
49;0.20408163265306123;0.14130612244897958
50;0.22;0.13904
51;0.21568627450980393;0.1379607843137255
52;0.23076923076923078;0.1360769230769231
53;0.2641509433962264;0.1339622641509434
54;0.25925925925925924;0.1325185185185185
55;0.2727272727272727;0.13090909090909092
56;0.2857142857142857;0.12914285714285714
57;0.3508771929824561;0.12701754385964914
58;0.3448275862068966;0.12551724137931036
59;0.3559322033898305;0.12372881355932205
60;0.38333333333333336;0.12240000000000001
61;0.39344262295081966;0.12065573770491803
62;0.4032258064516129;0.11903225806451612
63;0.42857142857142855;0.11758730158730159
64;0.4375;0.11624999999999999
65;0.4307692307692308;0.11476923076923076
66;0.42424242424242425;0.11375757575757575
67;0.43283582089552236;0.11265671641791045
68;0.4264705882352941;0.11194117647058822
69;0.43478260869565216;0.1106086956521739
70;0.45714285714285713;0.11017142857142857
71;0.49295774647887325;0.1096338028169014
72;0.5277777777777778;0.10861111111111112
73;0.547945205479452;0.1081095890410959
74;0.5540540540540541;0.10681081081081081
75;0.6133333333333333;0.10581333333333333
76;0.618421052631579;0.10494736842105262
77;0.6363636363636364;0.10394805194805194
78;0.6794871794871795;0.10246153846153847
79;0.7088607594936709;0.10131645569620253
80;0.7;0.1007
81;0.7037037037037037;0.09965432098765432
82;0.7073170731707317;0.09853658536585365
