1;4897;0.9794
2;4842;0.9684
3;4768;0.9536
4;4606;0.9212
5;4418;0.8836
6;4229;0.8458
7;4149;0.8298
8;3841;0.7682
9;3641;0.7282
10;3564;0.7128
11;3295;0.659
12;3061;0.6122
13;2834;0.5668
14;2698;0.5396
15;2511;0.5022
16;2230;0.446
17;2022;0.4044
18;1817;0.3634
19;1578;0.3156
20;1427;0.2854
21;1206;0.2412
22;976;0.1952
23;855;0.171
24;709;0.1418
25;531;0.1062
26;460;0.092
27;346;0.0692
28;263;0.0526
29;212;0.0424
30;158;0.0316
31;114;0.0228
32;97;0.0194
33;59;0.0118
34;47;0.0094
35;38;0.0076
36;35;0.007
37;23;0.0046
38;11;0.0022
39;15;0.003
40;8;0.0016
41;9;0.0018
42;3;0.0006
43;10;0.002
44;9;0.0018
45;3;0.0006
46;2;0.0004
47;4;0.0008
48;3;0.0006
49;5;0.001
50;0;0.0
