1;5000;1.0
2;5000;1.0
3;5000;1.0
4;5000;1.0
5;5000;1.0
6;5000;1.0
7;5000;1.0
8;4994;0.9988
9;4982;0.9964
10;4961;0.9922
11;4938;0.9876
12;4899;0.9798
13;4834;0.9668
14;4757;0.9514
15;4601;0.9202
16;4511;0.9022
17;4373;0.8746
18;4250;0.85
19;3983;0.7966
20;3801;0.7602
21;3630;0.726
22;3365;0.673
23;3162;0.6324
24;2844;0.5688
25;2501;0.5002
26;2288;0.4576
27;1954;0.3908
28;1759;0.3518
29;1483;0.2966
30;1224;0.2448
31;1053;0.2106
32;901;0.1802
33;785;0.157
34;699;0.1398
35;567;0.1134
36;527;0.1054
37;444;0.0888
38;402;0.0804
39;408;0.0816
40;313;0.0626
41;325;0.065
42;302;0.0604
43;280;0.056
44;237;0.0474
45;218;0.0436
46;243;0.0486
47;221;0.0442
48;190;0.038
49;180;0.036
50;191;0.0382
