sample;porosity;lambda_max;fractal_dimension
sample_0;0.87553;124;1.9724236312961152;
sample_1;0.89762;217;1.9799236945011731;
sample_2;0.90125;240;1.98102911141616;
sample_3;0.8835;191;1.9764170717843887;
sample_4;0.88864;181;1.9772889983097761;
sample_5;0.88481;166;1.9760597342255921;
sample_6;0.89142;133;1.9764966510383657;
sample_7;0.88334;200;1.9765878310137044;
sample_8;0.90004;228;1.9806024373104263;
sample_9;0.89155;160;1.9773813149694475;
avg;0.8897700000000001;184.0;1.977421047586515
