sample;porosity;lambda_max;fractal_dimensionsample_0;0.71553;34;1.905077274485462;
sample_1;0.74073;35;1.9155865790451645;
sample_2;0.75044;41;1.922690182754009;
sample_3;0.74082;38;1.9175283869573017;
sample_4;0.72802;45;1.9166128440626493;
sample_5;0.75108;45;1.9248047051644976;
sample_6;0.74734;36;1.9187293137128496;
sample_7;0.72056;41;1.9117489614796952;
sample_8;0.74122;34;1.9150802081709448;
sample_9;0.74834;45;1.9238446120173116;
sample_10;0.74535;46;1.9232361190747171;
sample_11;0.74115;39;1.9182346923686329;
sample_12;0.7424;35;1.9162199896160481;
sample_13;0.74344;35;1.9166137293436027;
sample_14;0.78301;68;1.9420288268745804;
sample_15;0.73063;34;1.9109994281264144;
sample_16;0.76045;59;1.9328406128868179;
sample_17;0.73213;34;1.9115810244062934;
sample_18;0.74764;47;1.9244616751433152;
sample_19;0.73185;42;1.9164774482674694;
sample_20;0.76407;40;1.9270521375600933;
sample_21;0.74341;51;1.9245878130929106;
sample_22;0.74545;50;1.9249065724562175;
sample_23;0.73832;48;1.9216320870009107;
sample_24;0.73377;33;1.911466042750022;
sample_25;0.74499;39;1.9196452763876766;
sample_26;0.75524;41;1.9244070952685357;
sample_27;0.74236;42;1.920292318824888;
sample_28;0.7115;45;1.910583125673228;
sample_29;0.75394;52;1.9285180794064747;
sample_30;0.72932;36;1.911918231427815;
sample_31;0.7454;37;1.9186261501796897;
sample_32;0.73727;49;1.9216816089985627;
sample_33;0.72195;30;1.9042103829899775;
sample_34;0.74277;41;1.9199237734720385;
sample_35;0.72371;35;1.9090484212142877;
sample_36;0.73486;49;1.9208403136567656;
sample_37;0.71936;38;1.9094472717089686;
sample_38;0.74375;37;1.9180124474484372;
sample_39;0.75643;53;1.9296914968703507;
sample_40;0.73248;32;1.910172254623775;
sample_41;0.76176;55;1.9320935592431547;
sample_42;0.76417;47;1.9301416388920998;
sample_43;0.75699;39;1.9240069466373817;
sample_44;0.73702;40;1.9172810459342498;
sample_45;0.74058;43;1.9201527154204967;
sample_46;0.73661;41;1.9176812261393918;
sample_47;0.72963;34;1.9106110335441062;
sample_48;0.73093;35;1.911840534982618;
sample_49;0.7166;28;1.8999948913418396;
avg;0.7407354;41.46;1.9186972621420941
